 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    0.0000    1.0000    1.5000    1.5000    0.6654    0.1575    3.8509    0.0000  1.0000E-10      0.0000  2.0834E+03
  136.4624    1.0000    1.5000    1.5000    0.6787    0.1647    3.8506    0.0000  1.0000E-10      0.0000  2.0397E+03
  272.9247    1.0000    1.5000    1.5000    0.6917    0.1721    3.8501    0.0000  1.0000E-10      0.0000  1.9960E+03
  409.3871    1.0000    1.5000    1.5000    0.7043    0.1796    3.8495    0.0000  1.0000E-10      0.0000  1.9517E+03
  545.8495    1.0000    1.5000    1.5000    0.7165    0.1875    3.8487    0.0000  1.0000E-10      0.0000  1.9065E+03
  682.3119    1.0000    1.5000    1.5000    0.7283    0.1957    3.8475    0.0000  1.0000E-10      0.0000  1.8598E+03
  818.7743    1.0000    1.5000    1.5000    0.7397    0.2044    3.8460    0.0000  1.0000E-10      0.0000  1.8112E+03
  955.2366    1.0000    1.5000    1.5000    0.7508    0.2137    3.8441    0.0000  1.0000E-10      0.0000  1.7603E+03
 1091.6990    1.0000    1.5000    1.5000    0.7614    0.2236    3.8418    0.0000  1.0000E-10      0.0000  1.7067E+03
 1228.1614    1.0000    1.5000    1.5000    0.7717    0.2344    3.8390    0.0000  1.0000E-10      0.0000  1.6504E+03
 1364.6238    1.0000    1.5000    1.5000    0.7817    0.2460    3.8357    0.0000  1.0000E-10      0.0000  1.5910E+03
 1501.0862    1.0000    1.5000    1.5000    0.7912    0.2585    3.8318    0.0000  1.0000E-10      0.0000  1.5285E+03
 1637.5486    1.0000    1.5000    1.5000    0.8004    0.2721    3.8273    0.0000  3.6189E-09      0.0000  1.4631E+03
 1774.0109    1.0000    1.5000    1.5000    0.8092    0.2867    3.8222    0.0000  3.0241E-07      0.0000  1.3946E+03
 1910.4733    1.0000    1.5000    1.5000    0.8176    0.3023    3.8165    0.0000  4.2977E-06      0.0000  1.3224E+03
 2046.9357    1.0000    1.5000    1.5000    0.8256    0.3189    3.8102    0.0000  3.0466E-05      0.0000  1.2454E+03
 2183.3979    1.0000    1.5000    1.5000    0.8332    0.3362    3.8035    0.0000  1.4563E-04      0.0000  1.1615E+03
 2319.8604    1.0000    1.5000    1.5000    0.8405    0.3539    3.7965    0.0000  5.2939E-04      0.0000  1.0682E+03
 2456.3228    1.0000    1.5000    1.5000    0.8474    0.3712    3.7895    0.0000  1.5393E-03      0.0000  9.6507E+02
 2592.7852    1.0000    1.5000    1.5000    0.8539    0.3872    3.7832    0.0000  3.6238E-03      0.0000  8.5758E+02
 2729.2476    2.0000    1.5000    1.5000    1.0229    0.4274    3.8053    0.1598  1.4245E-04      0.0000  9.2430E+02
 2732.9907    2.0000    1.5000    1.5000    1.0139    0.4328    3.8004    0.1606  3.5171E-04     -0.0779  8.9083E+02
 2736.7341    2.0000    1.5000    1.5000    1.0050    0.4382    3.7954    0.1614  7.6193E-04     -0.1555  8.5257E+02
 2740.4778    2.0000    1.5000    1.5000    0.9960    0.4436    3.7905    0.1623  1.4985E-03     -0.2328  8.0943E+02
 2744.2217    2.0000    1.4999    1.4999    0.9871    0.4490    3.7855    0.1631  2.7358E-03     -0.3097  7.6174E+02
 2747.9661    2.0000    1.4999    1.4999    0.9782    0.4544    3.7806    0.1639  4.7083E-03     -0.3863  7.1019E+02
 2751.7107    2.0000    1.4999    1.4999    0.9692    0.4598    3.7757    0.1647  7.7230E-03     -0.4626  6.5584E+02
 2755.4553    2.0000    1.4999    1.4999    0.9603    0.4652    3.7707    0.1655  1.2174E-02     -0.5385  5.9999E+02
 2759.2004    2.0000    1.4999    1.4999    0.9513    0.4706    3.7658    0.1663  1.8556E-02     -0.6140  5.4398E+02
 2762.9458    2.0000    1.4999    1.4999    0.9424    0.4761    3.7608    0.1671  2.7487E-02     -0.6893  4.8914E+02
 2766.6914    2.0000    1.4999    1.4999    0.9334    0.4815    3.7559    0.1679  3.9723E-02     -0.7642  4.3661E+02
