Mzams  Mco     Age        Type Rzams
1.00   0.519   12463.53   11   0.89
1.05   0.521   10440.88   11   0.94
1.10   0.525    8856.34   11   1.00
1.15   0.531    7571.51   11   1.07
1.20   0.538    6514.08   11   1.14
1.25   0.545    5653.89   11   1.21
1.30   0.551    4946.65   11   1.27
1.35   0.558    4359.55   11   1.33
1.40   0.564    3867.67   11   1.37
1.45   0.570    3452.42   11   1.41
1.50   0.577    3099.30   11   1.44
1.55   0.582    2796.97   11   1.46
1.60   0.588    2536.57   11   1.48
1.65   0.595    2311.08   11   1.50
1.70   0.600    2115.01   11   1.51
1.75   0.606    1944.27   11   1.53
1.80   0.612    1796.33   11   1.54
1.85   0.619    1670.89   11   1.56
1.90   0.625    1571.36   11   1.58
1.95   0.630    1507.96   11   1.59
2.00   0.636    1495.78   11   1.61
2.05   0.637    1396.06   11   1.63
2.10   0.638    1305.19   11   1.65
2.15   0.640    1222.16   11   1.66
2.20   0.641    1146.08   11   1.68
2.25   0.644    1076.22   11   1.70
2.30   0.646    1011.92   11   1.72
2.35   0.656     952.69   11   1.74
2.40   0.667     898.00   11   1.76
2.45   0.678     847.63   11   1.78
2.50   0.689     801.13   11   1.79
2.55   0.695     757.61   11   1.81
2.60   0.701     717.14   11   1.83
2.65   0.707     679.46   11   1.85
2.70   0.712     644.35   11   1.87
2.75   0.718     611.62   11   1.89
2.80   0.723     581.07   11   1.91
2.85   0.730     552.54   11   1.92
2.90   0.736     525.87   11   1.94
2.95   0.742     500.92   11   1.96
3.00   0.748     477.57   11   1.98
3.05   0.753     455.68   11   2.00
3.10   0.760     435.17   11   2.02
3.15   0.766     415.92   11   2.03
3.20   0.772     397.85   11   2.05
3.25   0.778     380.86   11   2.07
3.30   0.784     364.88   11   2.09
3.35   0.790     349.84   11   2.10
3.40   0.796     335.66   11   2.12
3.45   0.802     322.30   11   2.14
3.50   0.808     309.69   11   2.16
3.55   0.814     297.78   11   2.17
3.60   0.819     286.55   11   2.19
3.65   0.825     275.93   11   2.21
3.70   0.830     265.87   11   2.22
3.75   0.836     256.35   11   2.24
3.80   0.842     247.31   11   2.26
3.85   0.848     238.75   11   2.27
3.90   0.853     230.60   11   2.29
3.95   0.859     222.88   11   2.31
4.00   0.866     215.53   11   2.32
4.05   0.871     208.53   11   2.34
4.10   0.877     201.88   11   2.36
4.15   0.884     195.53   11   2.37
4.20   0.890     189.49   11   2.39
4.25   0.896     183.72   11   2.40
4.30   0.903     178.22   11   2.42
4.35   0.909     172.96   11   2.44
4.40   0.915     167.92   11   2.45
4.45   0.921     163.11   11   2.47
4.50   0.928     158.52   11   2.48
4.55   0.935     154.12   11   2.50
4.60   0.941     149.90   11   2.51
4.65   0.949     145.88   11   2.53
4.70   0.954     141.97   11   2.54
4.75   0.961     138.26   11   2.56
4.80   0.968     134.70   11   2.58
4.85   0.975     131.27   11   2.59
4.90   0.981     127.97   11   2.61
4.95   0.988     124.79   11   2.62
5.00   0.996     121.77   11   2.64
5.05   1.003     118.83   11   2.65
5.10   1.008     115.99   11   2.67
5.15   1.015     113.26   11   2.68
5.20   1.023     110.67   11   2.70
5.25   1.029     108.13   11   2.71
5.30   1.035     105.68   11   2.72
5.35   1.044     103.35   11   2.74
5.40   1.051     101.08   11   2.75
5.45   1.058      98.89   11   2.77
5.50   1.065      96.77   11   2.78
5.55   1.071      94.72   11   2.80
5.60   1.077      92.74   11   2.81
5.65   1.084      90.82   11   2.83
5.70   1.092      88.98   11   2.84
5.75   1.100      87.20   11   2.85
5.80   1.106      85.46   11   2.87
5.85   1.114      83.79   11   2.88
5.90   1.120      82.15   11   2.90
5.95   1.126      80.57   11   2.91
6.00   1.135      79.06   11   2.93
6.05   1.142      77.58   11   2.94
6.10   1.149      76.15   11   2.95
6.15   1.156      74.75   11   2.97
6.20   1.162      73.38   11   2.98
6.25   1.170      72.09   11   3.00
6.30   1.178      70.82   11   3.01
6.35   1.185      69.58   12   3.02
6.40   1.191      68.37   12   3.04
6.45   1.197      67.18   12   3.05
6.50   1.207      66.08   12   3.06
6.55   1.214      64.98   12   3.08
6.60   1.221      63.90   12   3.09
6.65   1.227      62.84   12   3.10
6.70   1.236      61.84   12   3.12
6.75   1.243      60.85   12   3.13
6.80   1.251      59.89   12   3.14
6.85   1.258      58.95   12   3.16
6.90   1.265      58.04   12   3.17
6.95   1.270      57.12   12   3.18
7.00   1.280      56.28   12   3.20
7.05   1.288      55.44   12   3.21
7.10   1.295      54.62   12   3.22
7.15   1.302      53.81   12   3.24
7.20   1.308      53.02   12   3.25
7.25   1.313      52.24   12   3.26
7.30   1.324      51.52   12   3.28
7.35   1.332      50.80   12   3.29
7.40   1.340      50.09   12   3.30
7.45   1.347      49.40   12   3.32
7.50   1.355      48.72   12   3.33
7.55   1.362      48.06   12   3.34
7.60   1.370      47.42   12   3.35
7.65   1.375      46.77   12   3.37
7.70   1.381      46.14   12   3.38
7.75   1.392      45.57   12   3.39
7.80   1.399      44.98   12   3.41
7.85   1.407      44.41   12   3.42
7.90   1.415      43.85   12   3.43
7.95   1.423      43.30   12   3.44
8.00   1.430      42.76   12   3.46
