           6
   104.171310    
   104.601578    
   104.849945    
   120.358749    
   121.142197    
   121.768318    
 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    0.0000    1.0000    5.0000    5.0000    2.7244    0.4209    4.2339    0.0000  1.0000E-10      0.0000  4.2152E+03
    5.2008    1.0000    4.9998    4.9998    2.7336    0.4313    4.2310    0.0000  1.0000E-10      0.0000  4.1047E+03
   10.4021    1.0000    4.9996    4.9996    2.7436    0.4419    4.2282    0.0000  1.0000E-10     -0.0005  3.9947E+03
   15.6039    1.0000    4.9994    4.9994    2.7546    0.4527    4.2256    0.0000  1.0000E-10     -0.0015  3.8843E+03
   20.8062    1.0000    4.9992    4.9992    2.7664    0.4638    4.2230    0.0000  1.0000E-10     -0.0032  3.7724E+03
   26.0090    1.0000    4.9989    4.9989    2.7791    0.4754    4.2204    0.0000  1.0000E-10     -0.0055  3.6582E+03
   31.2124    1.0000    4.9987    4.9987    2.7927    0.4875    4.2177    0.0000  1.0000E-10     -0.0085  3.5408E+03
   36.4165    1.0000    4.9984    4.9984    2.8071    0.5003    4.2149    0.0000  1.0000E-10     -0.0124  3.4196E+03
   41.6212    1.0000    4.9981    4.9981    2.8225    0.5138    4.2120    0.0000  1.0000E-10     -0.0173  3.2939E+03
   46.8265    1.0000    4.9978    4.9978    2.8387    0.5283    4.2088    0.0000  1.0000E-10     -0.0233  3.1633E+03
   52.0327    1.0000    4.9975    4.9975    2.8558    0.5438    4.2053    0.0000  1.0000E-10     -0.0305  3.0270E+03
   57.2396    1.0000    4.9972    4.9972    2.8737    0.5605    4.2015    0.0000  1.0000E-10     -0.0392  2.8847E+03
   62.4474    1.0000    4.9968    4.9968    2.8926    0.5786    4.1971    0.0000  1.0000E-10     -0.0496  2.7355E+03
   67.6561    1.0000    4.9964    4.9964    2.9123    0.5984    4.1921    0.0000  1.0000E-10     -0.0620  2.5782E+03
   72.8659    1.0000    4.9959    4.9959    2.9329    0.6205    4.1862    0.0000  1.0000E-10     -0.0766  2.4110E+03
   78.0768    1.0000    4.9954    4.9954    2.9543    0.6455    4.1791    0.0000  1.0000E-10     -0.0939  2.2311E+03
   83.2890    1.0000    4.9949    4.9949    2.9766    0.6747    4.1701    0.0000  1.0000E-10     -0.1142  2.0347E+03
   88.5024    1.0000    4.9943    4.9943    2.9998    0.7096    4.1584    0.0000  1.0000E-10     -0.1379  1.8167E+03
   93.4281    1.0000    4.9936    4.9936    3.0224    0.7504    4.1437    0.0000  1.0000E-10     -0.1639  1.5864E+03
   97.3696    1.0000    4.9931    4.9931    3.0411    0.7906    4.1283    0.0000  1.0000E-10     -0.1878  1.3828E+03
  100.6158    1.0000    4.9926    4.9926    3.0569    0.8304    4.1123    0.0000  1.0000E-10     -0.2094  1.2027E+03
  104.1704    1.0000    4.9921    4.9921    3.1759    0.7881    4.1632    0.0000  1.0000E-10     -0.2350  1.3890E+03
  104.1713    1.0000    4.9921    4.9921    3.1761    0.7879    4.1633    0.0000  1.0000E-10     -0.2350  1.3901E+03
  104.1713    2.0000    4.9921    4.9921    3.1761    0.7879    4.1633    0.8415  1.0000E-10     -0.2350  1.6700E+03
  104.1914    2.0000    4.9921    4.9921    3.1647    0.8290    4.1399    0.8423  1.0000E-10     -0.2353  1.4496E+03
  104.2114    2.0000    4.9921    4.9921    3.1533    0.8701    4.1166    0.8431  1.0000E-10     -0.2356  1.2538E+03
  104.2314    2.0000    4.9921    4.9921    3.1420    0.9112    4.0932    0.8439  1.0000E-10     -0.2358  1.0809E+03
  104.2515    2.0000    4.9921    4.9921    3.1306    0.9523    4.0698    0.8447  1.0000E-10     -0.2363  9.2905E+02
  104.2715    2.0000    4.9921    4.9921    3.1192    0.9934    4.0464    0.8455  1.0000E-10     -0.2368  7.9623E+02
  104.2916    2.0000    4.9920    4.9920    3.1079    1.0345    4.0230    0.8463  1.0000E-10     -0.2373  6.8061E+02
  104.3116    2.0000    4.9920    4.9920    3.0965    1.0756    3.9996    0.8471  1.0000E-10     -0.2378  5.8039E+02
  104.3316    2.0000    4.9920    4.9920    3.0852    1.1167    3.9762    0.8478  1.0000E-10     -0.2384  4.9384E+02
  104.3517    2.0000    4.9920    4.9920    3.0738    1.1578    3.9528    0.8486  1.0000E-10     -0.2391  4.1935E+02
  104.3717    2.0000    4.9920    4.9920    3.0624    1.1989    3.9294    0.8494  1.0000E-10     -0.2397  3.5547E+02
  104.3918    2.0000    4.9920    4.9920    3.0511    1.2400    3.9060    0.8502  1.0000E-10     -0.2405  3.0082E+02
  104.4118    2.0000    4.9920    4.9920    3.0397    1.2811    3.8826    0.8510  1.0000E-10     -0.2412  2.5420E+02
  104.4319    2.0000    4.9920    4.9920    3.0283    1.3222    3.8592    0.8518  1.0000E-10     -0.2421  2.1453E+02
  104.4519    2.0000    4.9919    4.9919    3.0170    1.3633    3.8358    0.8526  1.0000E-10     -0.2430  1.8083E+02
  104.4719    2.0000    4.9919    4.9919    3.0056    1.4044    3.8124    0.8534  1.0000E-10     -0.2439  1.5227E+02
  104.4920    2.0000    4.9919    4.9919    2.9942    1.4456    3.7891    0.8541  1.0000E-10     -0.2450  1.2810E+02
  104.5120    2.0000    4.9919    4.9919    2.9829    1.4867    3.7657    0.8549  1.0000E-10     -0.2461  1.0768E+02
  104.5321    2.0000    4.9918    4.9918    2.9715    1.5278    3.7423    0.8557  2.4519E-05     -0.2472  8.9878E+01
  104.5521    2.0000    4.9918    4.9918    2.9601    1.5689    3.7189    0.8565  1.0123E-02     -0.2485  6.1398E+01
