Companion,alpha(deg),delta(deg),MG(mag),sep(au),mass(Msun),Teff(K),Flags
HD 142 B,1.583509503, −49.07643875198,8.195+0.202,102, 0.579+0.016,3922+49,  PRI 2MA BPRP
WASP-26 B,4.60567108, −15.27084473393,6.669+0.302,3916,0.742+0.020,4625+93,PRI 2MA BPRP
GJ15 B,4.624747719,44.02869779,11.611+0.217,122, 0.189+0.020,3235+39, PRI 2MA BPRP
WASP-1 B,5.167002947,31.99124472,9.671+0.492,1820,0.405+0.032,3529+52, BPRP
WASP-45 B,5.236748252, −35.99756534993,12.111+0.168,929, 0.157+0.005,3154+16,  ⋆ ⋆ ⋆ BPRP
HATS-30 B,5.617068387, −59.94066399348,11.290+0.055,2561,0.215+0.005,3286+8,2MA BPRP
HAT-P-16 C,9.56687037,42.46772012,6.774+0.158,5323,0.730+0.011,4571+50, PRI 2MA BPRP
HD 4113 B,10.79985267,−37.96970427588,8.117+0.216,2055,0.588+0.048,3947+198, PRI 2MA BPRP
HD 4732 B,12.30917969,−24.13926703715,8.630+0.246,481, 0.532+0.022,3779+66,  PRI 2MA BPRP
EPIC 220194974 B,14.51521357,−0.19415591683, 7.954+0.341,1167,0.605+0.013,4008+56,  PRI 2MA BPRP
EPIC 220621087 A,19.29774853,9.500918561, 6.745+0.141,1739,0.734+0.007,4586+33,  ⋆ ⋆ ⋆ PRI 2MA BPRP
HD 8535 B,20.90207093,−41.27123620469,12.774+0.187,560, 0.129+0.007,3041+31, WD PRI BPRP
υ And B,24.20903023,41.39060374,11.861+0.019,746, 0.171+0.001,3195+3,  PRI 2MA BPRP
WASP-18 B,24.35073665,−45.68474691636,15.361+0.061,3312,0.085+0.001,2507+18,  2MA BPRP
HIP 8541 B,27.53525397,−54.46416456947,6.803+0.252,2686,0.727+0.026,4556+121, PRI 2MA BPRP
HD 11964 B,29.29444749,−10.24920015448,7.139+0.458,996, 0.691+0.034,4388+157, PRI 2MA BPRP
WASP-33 C,36.71530024,37.53699341,5.776+0.167,5992,0.846+0.008,5093+33, ⋆ ⋆ ⋆ PRI 2MA BPRP
WASP-77 B,37.15592692,−7.06148395777, 6.669+0.096,345, 0.742+0.003,4625+1575 ,
75 Cet B,38.04205062,−1.03640310661, 7.814+0.113,958, 0.620+0.013,4074+57,  PRI 2MA BPRP
HD 16141 B,38.83219162,−3.56422258089, 9.946+0.479,237, 0.367+0.050,3486+61,  PRI 2MA BPRP
30 Ari A (SB),39.25282948,24.6471535,2.618+0.275,1696,1.297+0.039,6439+94, extra PRI 2MA BPRP
HD 16417 B,39.25898895,−34.57662540980,13.514+0.268,1144,0.108+0.005,2900+40, PRI 2MA BPRP
HAT-P-10 C,47.36725216,30.67769932,10.989+0.118,2053,0.245+0.008,3331+12, ⋆ ⋆ ⋆ PRI 2MA BPRP
HD 19994 BC,48.19413468,−1.19698778142, 6.857+0.301,50,  0.721+0.052,4529+241,
WASP-139 B,49.55443804,−41.29590441585,11.962+0.211,6495,0.165+0.003,3178+9,2MA BPRP
HD 20782 B,50.01397569,−28.78411750973,5.296+0.136,9114,0.907+0.019,5353+76, PRI 2MA BPRP
HD 23596 B,57.02486253,40.53969109,6.363+0.272,3683,0.776+0.044,4782+200,PRI 2MA BPRP
WASP-98 B,58.42609687,−34.33067078553,12.862+0.130,3475,0.127+0.001,3025+6,WD BPRP
HD 25171 B,58.91463429,−65.18457733369,12.094+0.562,3623,0.158+0.003,3156+8,PRI 2MA BPRP
WASP-140 B,60.38763163,−20.45055866582,7.515+0.305,854, 0.651+0.010,4213+46,  PRI 2MA BPRP
EPIC 211089792 B,62.67115659,24.40264811,7.053+0.490,773, 0.700+0.054,4429+251,PRI 2MA BPRP
HD 26965 C,63.82997052,−7.67042968531, 10.872+0.320,393, 0.256+0.005,3349+8, PRI 2MA BPRP
HD 27442 B,64.12478741,−59.29997267959,11.138+0.035,238, 0.230+0.003,3309+5,WD PRI BPRP
HD 28254 B,66.20871541,−50.62305718483,8.861+0.021,270, 0.507+0.002,3703+7,PRI 2MA BPRP
WASP-100 B,68.95953239,−64.02813317105,9.488+0.051,1460,0.428+0.007,3566+11,  BPRP
