pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_gmag,gaia_gmagerr,gaia_gmaglim,pl_facility
11 Com,b,11 Com b,Radial Velocity,326.03,0.32,-0.32,0,1.29,0.05,-0.05,0,0.231,0.005,-0.005,0,93.37,1.92,-1.92,0,4.372,,0,Xinglong Station
11 UMi,b,11 UMi b,Radial Velocity,516.21997,3.2,-3.2,0,1.53,0.07,-0.07,0,0.08,0.03,-0.03,0,125.72,1.97,-1.97,0,4.5,,0,Thueringer Landessternwarte Tautenburg
14 And,b,14 And b,Radial Velocity,185.84,0.23,-0.23,0,0.83,,,0,0,,,0,75.59,0.71,-0.71,0,4.872,,0,Okayama Astrophysical Observatory
14 Her,b,14 Her b,Radial Velocity,1773.40002,2.5,-2.5,0,2.93,0.08,-0.08,0,0.37,0,0,0,17.94,0.01,-0.01,0,6.379,,0,W. M. Keck Observatory
16 Cyg B,b,16 Cyg B b,Radial Velocity,798.5,1,-1,0,1.66,0.03,-0.03,0,0.68,0.02,-0.02,0,21.15,0.01,-0.01,0,6.057,,0,Multiple Observatories
18 Del,b,18 Del b,Radial Velocity,993.3,3.2,-3.2,0,2.6,,,0,0.08,0.01,-0.01,0,76.38,0.62,-0.62,0,5.244,,0,Okayama Astrophysical Observatory
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,,,,,330,,,0,,,,,145,14,-14,0,12.057,,0,Gemini Observatory
24 Boo,b,24 Boo b,Radial Velocity,30.3506,0.0078,-0.0077,0,0.19,0.012,-0.009,0,0.042,0.048,-0.029,0,96.25,0.64,-0.64,0,5.305,,0,Okayama Astrophysical Observatory
24 Sex,b,24 Sex b,Radial Velocity,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,0.09,0.14,-0.06,0,72.21,0.68,-0.68,0,6.198,,0,Lick Observatory
24 Sex,c,24 Sex c,Radial Velocity,883,32.4,-13.8,0,2.08,0.05,-0.02,0,0.29,0.16,-0.09,0,72.21,0.68,-0.68,0,6.198,,0,Lick Observatory
