pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_cbflag,pl_facility
11 Com,b,11 Com b,Radial Velocity,1.29,0.05,-0.05,0,0.231,0.005,-0.005,0,0,Xinglong Station
11 UMi,b,11 UMi b,Radial Velocity,1.53,0.07,-0.07,0,0.08,0.03,-0.03,0,0,Thueringer Landessternwarte Tautenburg
14 And,b,14 And b,Radial Velocity,0.83,,,0,0,,,0,0,Okayama Astrophysical Observatory
14 Her,b,14 Her b,Radial Velocity,2.93,0.08,-0.08,0,0.37,0,0,0,0,W. M. Keck Observatory
16 Cyg B,b,16 Cyg B b,Radial Velocity,1.66,0.03,-0.03,0,0.68,0.02,-0.02,0,0,Multiple Observatories
18 Del,b,18 Del b,Radial Velocity,2.6,,,0,0.08,0.01,-0.01,0,0,Okayama Astrophysical Observatory
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,330,,,0,,,,,0,Gemini Observatory
24 Boo,b,24 Boo b,Radial Velocity,0.19,0.012,-0.009,0,0.042,0.048,-0.029,0,0,Okayama Astrophysical Observatory
24 Sex,b,24 Sex b,Radial Velocity,1.333,0.004,-0.009,0,0.09,0.14,-0.06,0,0,Lick Observatory
24 Sex,c,24 Sex c,Radial Velocity,2.08,0.05,-0.02,0,0.29,0.16,-0.09,0,0,Lick Observatory
2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,52,6,-6,0,,,,,0,W. M. Keck Observatory
2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,156,10,-10,0,,,,,0,Cerro Tololo Inter-American Observatory
2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,15,,,0,,,,,0,Hubble Space Telescope
2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,46,5,-5,0,,,,,0,Paranal Observatory
2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,0.92,0.02,-0.02,0,,,,,1,Kepler
2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,,,,,0.26,0.06,-0.06,0,0,W. M. Keck Observatory
2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,230,20,-20,0,,,,,0,W. M. Keck Observatory
30 Ari B,b,30 Ari B b,Radial Velocity,0.99,0.02,-0.02,0,0.29,0.09,-0.09,0,0,Thueringer Landessternwarte Tautenburg
4 UMa,b,4 UMa b,Radial Velocity,0.87,0.04,-0.04,0,0.432,0.024,-0.024,0,0,Thueringer Landessternwarte Tautenburg
42 Dra,b,42 Dra b,Radial Velocity,1.19,0.01,-0.01,0,0.38,0.06,-0.06,0,0,Thueringer Landessternwarte Tautenburg
47 UMa,b,47 UMa b,Radial Velocity,2.1,0.02,-0.02,0,0.032,0.014,-0.014,0,0,Lick Observatory
47 UMa,c,47 UMa c,Radial Velocity,3.6,0.1,-0.1,0,0.098,0.047,-0.096,0,0,Lick Observatory
47 UMa,d,47 UMa d,Radial Velocity,11.6,2.1,-2.9,0,0.16,0.09,-0.16,0,0,Lick Observatory
51 Eri,b,51 Eri b,Imaging,12,4,-2,0,0.45,0.1,-0.15,0,0,Gemini Observatory
51 Peg,b,51 Peg b,Radial Velocity,0.0527,0.003,-0.003,0,0.013,0.012,-0.012,0,0,Haute-Provence Observatory
55 Cnc,b,55 Cnc b,Radial Velocity,0.115227,0.000001,-0.000001,0,0.0034,0.0032,-0.0032,0,0,Lick Observatory
55 Cnc,c,55 Cnc c,Radial Velocity,0.241376,0.000026,-0.000026,0,0.02,0.031,-0.031,0,0,McDonald Observatory
55 Cnc,d,55 Cnc d,Radial Velocity,5.503,0.03,-0.03,0,0.019,0.013,-0.013,0,0,Lick Observatory
55 Cnc,e,55 Cnc e,Radial Velocity,0.01544,0.00009,-0.00009,0,,,,0,0,McDonald Observatory
55 Cnc,f,55 Cnc f,Radial Velocity,0.788,0.001,-0.001,0,0.305,0.075,-0.075,0,0,Multiple Observatories
6 Lyn,b,6 Lyn b,Radial Velocity,2.11,0.11,-0.11,0,0.073,0.036,-0.036,0,0,Okayama Astrophysical Observatory
61 Vir,b,61 Vir b,Radial Velocity,0.050201,0.000005,-0.000005,0,0.12,0.11,-0.11,0,0,Multiple Observatories
61 Vir,c,61 Vir c,Radial Velocity,0.2175,0.0001,-0.0001,0,0.14,0.06,-0.06,0,0,Multiple Observatories
61 Vir,d,61 Vir d,Radial Velocity,0.476,0.001,-0.001,0,0.35,0.09,-0.09,0,0,Multiple Observatories
7 CMa,b,7 CMa b,Radial Velocity,1.758,0.024,-0.001,0,0.06,0.03,-0.03,0,0,Anglo-Australian Telescope
7 CMa,c,7 CMa c,Radial Velocity,2.153,0.003,-0.08,0,0.08,0.05,-0.04,0,0,Multiple Observatories
70 Vir,b,70 Vir b,Radial Velocity,0.481,0.022,-0.022,0,0.3988,0.0019,-0.0019,0,0,Lick Observatory
75 Cet,b,75 Cet b,Radial Velocity,2.1,,,0,0.117,0.048,-0.048,0,0,Okayama Astrophysical Observatory
8 UMi,b,8 UMi b,Radial Velocity,0.49,0.02,-0.02,0,0.06,0.09,-0.09,0,0,Bohyunsan Optical Astronomical Observatory
81 Cet,b,81 Cet b,Radial Velocity,2.5,,,0,0.206,0.029,-0.029,0,0,Okayama Astrophysical Observatory
91 Aqr,b,91 Aqr b,Radial Velocity,0.7,,,0,0.027,0.026,-0.026,0,0,Lick Observatory
AB Pic,b,AB Pic b,Imaging,260,,,0,,,,,0,Paranal Observatory
