# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Mar 21 12:50:46 2020
#
# User preference: *
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_cbflag:      Planet Circumbinary Flag
# COLUMN pl_facility:    Discovery Facility
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_cbflag,pl_facility
11 Com,b,11 Com b,Radial Velocity,1.290000,0.050000,-0.050000,0,0.231000,0.005000,-0.005000,0,0,Xinglong Station
11 UMi,b,11 UMi b,Radial Velocity,1.530000,0.070000,-0.070000,0,0.080000,0.030000,-0.030000,0,0,Thueringer Landessternwarte Tautenburg
14 And,b,14 And b,Radial Velocity,0.830000,,,0,0.000000,,,0,0,Okayama Astrophysical Observatory
14 Her,b,14 Her b,Radial Velocity,2.930000,0.080000,-0.080000,0,0.370000,0.000000,0.000000,0,0,W. M. Keck Observatory
16 Cyg B,b,16 Cyg B b,Radial Velocity,1.660000,0.030000,-0.030000,0,0.680000,0.020000,-0.020000,0,0,Multiple Observatories
18 Del,b,18 Del b,Radial Velocity,2.600000,,,0,0.080000,0.010000,-0.010000,0,0,Okayama Astrophysical Observatory
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,330.000000,,,0,,,,,0,Gemini Observatory
24 Boo,b,24 Boo b,Radial Velocity,0.190000,0.012000,-0.009000,0,0.042000,0.048000,-0.029000,0,0,Okayama Astrophysical Observatory
24 Sex,b,24 Sex b,Radial Velocity,1.333000,0.004000,-0.009000,0,0.090000,0.140000,-0.060000,0,0,Lick Observatory
24 Sex,c,24 Sex c,Radial Velocity,2.080000,0.050000,-0.020000,0,0.290000,0.160000,-0.090000,0,0,Lick Observatory
