planet_host,planet_letter,discovery_method,sma,sma_err1,sma_err2,ecc,ecc_err1,ecc_err2,host_gmag,host_gmag_err,companion_mag,companion_mag_err,companion_sep,rho,rho_err
HD142,b,Radial Velocity,1.02,0.03,-0.03,0.17,0.06,-0.06,5.565,,8.195,0.20199999999999999,102.0,3.89463,0.00017
HD142,c,Radial Velocity,6.8,0.5,-0.5,0.21,0.07,-0.07,5.565,,8.195,0.20199999999999999,102.0,3.89463,0.00017
WASP26,b,Transit,,,,0.0,,,10.994000000000002,,6.669,0.302,3916.0,15.38629,6e-05
WASP1,b,Transit,0.03889,0.00053,-0.00073,0.0,,,11.535,,9.671,0.49200000000000005,1820.0,4.57992,0.0002
WASP45,b,Transit,0.03963,0.00114,-0.00112,,,,12.049,,12.110999999999999,0.168,929.0,4.37224,0.00024
HATS30,b,Transit,0.04354,0.00042,-0.00042,0.096,,,12.081,,11.29,0.055,2561.0,7.41185,0.00019
HATP16,b,Transit,0.0413,0.0004,-0.0004,0.036000000000000004,0.004,-0.004,10.757,,6.774,0.158,5323.0,23.34672,7e-05
HD4113,b,Radial Velocity,1.28,,,0.903,0.005,-0.005,7.711,,8.117,0.21600000000000003,2055.0,49.00907,0.00011
HD4732,b,Radial Velocity,1.19,0.05,-0.05,0.13,0.06,-0.06,5.632999999999999,,8.63,0.24600000000000002,481.0,8.77404,4e-05
HD4732,c,Radial Velocity,4.6,0.23,-0.23,0.23,0.07,-0.07,5.632999999999999,,8.63,0.24600000000000002,481.0,8.77404,4e-05
HD8535,b,Radial Velocity,2.45,0.04,-0.06,0.15,0.09,-0.05,7.561,,12.774000000000001,0.187,560.0,10.09035,5e-05
WASP18,b,Transit,0.02,,,,,,9.166,,15.360999999999999,0.061,3312.0,26.72767,0.00104
WASP18,c,Transit Timing Variations,0.035,,,0.015,,,9.166,,15.360999999999999,0.061,3312.0,26.72767,0.00104
HIP8541,b,Radial Velocity,2.8,0.25,-0.25,0.16,0.06,-0.06,7.561,,6.803,0.252,2686.0,,
HD11964,b,Radial Velocity,3.16,0.19,-0.19,0.041,0.047,-0.047,6.204,,7.138999999999999,0.45799999999999996,996.0,29.6784,5e-05
HD11964,c,Radial Velocity,0.229,0.013,-0.013,0.3,0.17,-0.17,6.204,,7.138999999999999,0.45799999999999996,996.0,29.6784,5e-05
WASP33,b,Transit,0.0239,0.00063,-0.00063,,,,8.07,,5.776,0.16699999999999998,5992.0,48.97176,6e-05
75Cet,b,Radial Velocity,2.1,,,0.117,0.048,-0.048,5.055,,7.814,0.113,958.0,,
HD16141,b,Radial Velocity,0.36,0.01,-0.01,0.25,0.05,-0.05,6.658,,9.946,0.479,237.0,6.27368,8e-05
HD16417,b,Radial Velocity,0.14,0.01,-0.01,0.2,0.09,-0.09,5.5939999999999985,,13.514000000000001,0.268,1144.0,45.00693,6e-05
HD19994,b,Radial Velocity,1.305,0.016,-0.016,0.063,0.062,-0.062,4.885,,6.857,0.301,50.0,,
WASP139,b,Transit,0.062,0.002,-0.002,0.0,,,12.271,,11.962,0.21100000000000002,6495.0,30.37942,0.00018
HD20782,b,Radial Velocity,1.3649,0.0466,-0.0495,0.95,0.001,-0.001,7.193,,5.296,0.136,9114.0,252.9874,4e-05
HD23596,b,Radial Velocity,2.77,0.05,-0.05,0.27,0.01,-0.01,7.104,,6.3629999999999995,0.272,3683.0,70.7203,0.00018
WASP98,b,Transit,0.03762,0.001,-0.001,,,,12.868,,12.862,0.13,3475.0,12.23392,0.00038
HD25171,b,Radial Velocity,2.971,0.033,-0.032,0.042,0.046,-0.029,7.638,,12.094000000000001,0.562,3623.0,65.03523,6e-05
WASP140,b,Transit,0.0323,0.0005,-0.0005,0.047,0.0035,-0.0035,10.82,,7.515,0.305,854.0,7.23548,3e-05
HD26965,b,Radial Velocity,,,,0.04,0.05,-0.03,4.107,,10.872,0.32,393.0,78.10102,0.00091
HD27442,b,Radial Velocity,1.271,0.073,-0.073,0.06,0.043,-0.043,4.064,,11.138,0.035,238.0,13.03997,0.00016
HD28254,b,Radial Velocity,2.15,0.04,-0.05,0.81,0.05,-0.02,7.5,,8.861,0.021,270.0,4.87645,5e-05
WASP100,b,Transit,,,,0.0,,,10.615,,9.488,0.051,1460.0,3.96418,0.00034
HD33283,b,Radial Velocity,0.1508,0.0087,-0.0087,0.399,0.056,-0.056,7.899,,12.184000000000001,0.027000000000000003,5021.0,55.72502,7e-05
EPIC246851721,b,Transit,0.07229,0.00074,-0.00075,,,,11.255,,9.02,0.20199999999999999,2214.0,,
HD40979,b,Radial Velocity,0.85,0.01,-0.01,0.25,0.01,-0.01,6.6,,5.893,0.16,6570.0,191.37936,0.00047
HD40979,b,Radial Velocity,0.85,0.01,-0.01,0.25,0.01,-0.01,6.6,,5.893,0.16,6570.0,191.37936,0.00047
WASP49,b,Transit,,,,0.0,,,11.291,,10.164,0.172,443.0,2.26416,0.00015
WASP168,b,Transit,0.0519,0.0008,-0.0008,0.0,,,11.714,,12.183,0.109,1216.0,3.96737,0.00084
HD46375,b,Radial Velocity,0.0398,0.0023,-0.0023,0.063,0.026,-0.026,7.695,,8.259,0.385,309.0,10.43922,7e-05
WASP64,b,Transit,0.02648,0.00024,-0.00024,0.0,,,12.526,,2.128,0.384,9058.0,24.22634,2e-05
HATP24,b,Transit,,,,0.07,0.02,-0.02,11.64,,9.763,0.081,2077.0,4.94323,0.00014
KELT15,b,Transit,,,,0.0,,,11.069,,9.367,0.353,1994.0,6.08537,0.0001
HD65216,b,Radial Velocity,1.301,0.02,-0.02,0.27,0.02,-0.02,7.794,,14.899000000000001,0.077,255.0,,
HD65216,c,Radial Velocity,5.75,0.09,-0.09,0.17,0.04,-0.04,7.794,,14.899000000000001,0.077,255.0,,
HATP35,b,Transit,0.04978,0.00064,-0.00066,0.02,,,12.28,,8.787,0.146,4637.0,9.01806,0.0001
HATP30,b,Transit,,,,0.04,0.02,-0.02,10.3,,8.277000000000001,0.217,826.0,3.8345,4e-05
Pr0211,b,Radial Velocity,0.031760000000000004,0.00015,-0.00015,0.011,0.012,-0.008,11.928,,5.831,0.127,7075.0,,
Pr0211,c,Radial Velocity,5.5,3.0,-1.4,0.71,0.11,-0.11,11.928,,5.831,0.127,7075.0,,
